name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Haiti,48163170000,0.0000827,4386,0.99,0.99,0,0,0.01,3086897,0.0171,10839970,0.28,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,23000,0,0,,2016,Barrels,0,-23000
Madagascar,54364625000,0.0000934,2126,0.84,0.68,0,0.16,0.16,3026047,0.0285,24894370,0.12,0.01%,0,0,566337,552763,0,552763,2016,Tons ,,-566337,,,,,,,,,,,0,0,18000,0,0,,2016,Barrels,0,-18000
Mali,60540614000,0.000104,3270,0.78,0.78,0,0,0.22,1606421,0.0257,17965443,0.09,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,21999,45,0,45,2016,Barrels,,-21999
Burkina Faso,49416394000,0.0000849,2575,0.92,0.92,0,0,0.08,2352070,0.0314,18646357,0.13,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,23000,0,0,,2016,Barrels,0,-23000
State of Palestine,65933937000,0.0001132,13889,0.7,0.7,0,0,0.3,,,,,,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,24001,23,0,23,2016,Barrels,,-24001
Gabon,68381605000,0.0001174,33117,0.87,0.65,0.22,0,0.13,5694208,0.0112,2007873,2.84,0.02%,0,0,0,0,0,,2016,Tons ,,0,1000000,91042,13349,0,0,,2015,Million Cubic Ft,0,77693,2000000000,210428,21000,0,205218,,2016,Barrels,205218,189428
Macao,48682524000,0.0000836,78194,0.73,0.6,0.14,0,0.27,3106518,0.0719,612836,5.07,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,68,75,0,75,2015,Million Cubic Ft,,-68,0,0,17110,0,0,,2016,Barrels,0,-17110
Bhutan,61282453000,0.0001052,82196,0.11,0.09,0,0.02,0.89,1682100,0.0614,736708,2.28,0.00%,0,129833,96000,21467,0,21467,2016,Tons ,,33833,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3001,0,0,,2016,Barrels,0,-3001
Estonia,87785565000,0.0001507,66535,0.89,0.67,0.21,0.01,0.11,22402414,0.0101,1316510,17.02,0.06%,0,0,19762,19642,0,19642,2016,Tons ,,-19762,0,0,16633,16633,0,16633,2015,Million Cubic Ft,,-16633,0,16000,28855,0,0,,2016,Barrels,0,-12855
Mauritius,90076344000,0.0001547,71235,0.93,0.72,0,0.21,0.07,3192307,0,1261865,2.53,0.01%,0,0,772967,1020188,0,1020188,2016,Tons ,,-772967,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,517,28000,0,0,,2016,Barrels,0,-27483
Namibia,79767587000,0.000137,33200,0.7,0.7,0,0,0.3,3901830,0.0442,2358044,1.65,0.01%,0,0,5524,5524,0,5524,2016,Tons ,,-5524,2200000,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,26000,130,1,129,2016,Barrels,,-26000
New Caledonia,78485011000,0.0001348,283186,0.95,0.57,0,0.38,0.05,2338717,0.0722,274191,8.53,0.01%,2204620,0,1155221,1188248,0,1188248,2016,Tons ,,-1155221,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,20000,0,0,,2016,Barrels,0,-20000
Equatorial Guinea,59811150000,0.0001027,47394,0.92,0.18,0.74,0,0.08,2156371,0,1215180,1.77,0.01%,0,0,0,0,0,,2016,Tons ,,0,1300000,296646,42025,0,176928,,2015,Million Cubic Ft,176928,254621,1100000000,244000,5200,0,188257,,2016,Barrels,188257,238800
Uganda,97180787000,0.0001669,2361,0.66,0.66,0,0,0.34,5009493,0.0382,39649166,0.13,0.01%,0,0,0,0,0,,2016,Tons ,,0,500000,0,0,0,0,,2015,Million Cubic Ft,,0,2500000000,0,32001,0,0,,2016,Barrels,0,-32001
Benin,97181607000,0.0001669,8696,0.96,0.93,0,0.03,0.04,6563709,0.0413,10872063,0.6,0.02%,0,0,87776,87776,0,87776,2016,Tons ,,-87776,40000,0,0,0,0,,2015,Million Cubic Ft,,0,8000000,0,36000,0,0,,2016,Barrels,0,-36000
Macedonia,1.00E+11,0.000172,48034,0.81,0.38,0.07,0.35,0.19,8896732,0.0162,2080743,4.28,0.02%,365966920,5679101,5987018,227611,2044,225567,2016,Tons ,,-307917,0,0,2119,2119,0,2119,2015,Million Cubic Ft,,-2119,0,240,21000,0,0,,2016,Barrels,0,-20760
Congo,95621923000,0.0001642,18710,0.88,0.34,0.54,0,0.12,5212302,0.0163,4980996,1.05,0.01%,0,0,0,0,0,,2016,Tons ,,0,3200000,324898,52973,0,0,,2015,Million Cubic Ft,0,271926,1600000000,204735,17000,3,194693,,2016,Barrels,194690,187735
Nicaragua,98675888000,0.0001694,15455,0.75,0.75,0,0,0.25,5325447,0.0186,6303974,0.84,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,-81,37000,12410,0,12410,2016,Barrels,,-37081
Botswana,96035971000,0.0001649,43552,0.97,0.47,0,0.5,0.03,6438429,-0.0374,2159927,2.98,0.02%,106434000,2065729,1356944,5637,13288,,2016,Tons ,7650,708785,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,21000,1,1,,2016,Barrels,0,-21000
Papua New Guinea,93500964000,0.0001606,11081,0.92,0.88,0.04,0,0.08,9086988,0.0709,8271762,1.1,0.03%,0,0,0,0,0,,2016,Tons ,,0,5467000,346087,3532,0,342556,,2015,Million Cubic Ft,342556,342556,180249000,56075,37001,0,0,,2016,Barrels,0,19074
Cyprus,1.17E+11,0.000201,99346,0.97,0.96,0,0,0.03,6872427,0.0373,1170187,5.87,0.02%,0,0,224,224,0,224,2016,Tons ,,-224,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,10,52000,4,0,4,2016,Barrels,,-51990
Moldova,1.28E+11,0.00022,31534,0.95,0.29,0.63,0.04,0.05,8258774,0.0299,4066009,2.03,0.02%,0,0,137789,130711,0,130711,2016,Tons ,,-137789,0,353,96410,96057,0,96057,2015,Million Cubic Ft,,-96057,0,-18,18001,1,0,1,2016,Barrels,,-18019
Albania,1.12E+11,0.000192,38778,0.56,0.52,0.02,0.02,0.44,5208319,0.0445,2886438,1.8,0.01%,575405820,0,95901,89287,0,89287,2016,Tons ,,-95901,29000,1236,1236,0,0,,2015,Million Cubic Ft,0,0,168332000,22818,27000,0,18200,,2016,Barrels,18200,-4182
Jamaica,1.28E+11,0.00022,43868,0.95,0.87,0.06,0.02,0.05,8946575,0.0182,2906236,3.08,0.03%,0,0,80469,103617,0,103617,2016,Tons ,,-80469,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,707,54000,21579,0,21579,2016,Barrels,,-53293
Malta,1.29E+11,0.000221,293498,0.97,0.88,0.08,0,0.03,2257870,0.0348,436097,5.18,0.01%,0,0,56,56,0,56,2016,Tons ,,-56,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,47000,0,0,,2016,Barrels,0,-47000
El Salvador,1.32E+11,0.000227,20707,0.69,0.69,0,0,0.31,6853766,0.0045,6356143,1.08,0.02%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,52000,1,0,1,2016,Barrels,,-52000
Dem. Rep. Congo,1.32E+11,0.000227,1622,0.33,0.32,0,0,0.67,6564773,0.0377,78789127,0.08,0.02%,97003280,9011,12538,17882,0,17882,2016,Tons ,,-3527,35000,9182,353,0,0,,2015,Million Cubic Ft,0,8829,180000000,20000,21000,0,16263,,2016,Barrels,16263,-1000
Senegal,1.31E+11,0.000224,8477,0.96,0.83,0.01,0.11,0.04,8247295,0.0369,14993519,0.55,0.02%,0,0,448640,660467,0,660467,2016,Tons ,,-448640,0,2190,2190,0,0,,2015,Million Cubic Ft,0,0,0,-32,49000,19390,911,18479,2016,Barrels,,-49032
Yemen,1.38E+11,0.000238,4976,0.99,0.79,0.14,0.06,0.01,25647990,0.0162,27168208,0.94,0.07%,0,0,133380,153994,0,153994,2016,Tons ,,-133380,16900000,444969,28605,0,66745,,2015,Million Cubic Ft,66745,416364,3000000000,21960,60000,0,8875,,2016,Barrels,8875,-38040
Zimbabwe,1.58E+11,0.000272,11130,0.73,0.32,0,0.41,0.27,10062628,-0.0417,14030331,0.72,0.03%,553359620,2976237,3388555,173,47903,,2016,Tons ,47729,-412318,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,819,24000,0,0,,2016,Barrels,0,-23181
Nepal,1.61E+11,0.000277,5834,0.68,0.64,0,0.04,0.32,7833787,0.101,27263433,0.29,0.02%,1102310,23149,283303,207403,0,207403,2016,Tons ,,-260154,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,43000,0,0,,2016,Barrels,0,-43000
Lithuania,1.51E+11,0.000259,53011,0.65,0,0.6,0.04,0.35,13685264,0.0266,2889557,4.74,0.04%,0,0,272313,287844,41643,246201,2016,Tons ,,-272313,0,0,88251,88251,0,88251,2015,Million Cubic Ft,,-88251,12000000,10336,61612,182514,1012,181502,2016,Barrels,,-51276
Cambodia,1.69E+11,0.00029,10537,0.82,0.59,0,0.23,0.18,6496958,0.0768,15766292,0.41,0.02%,0,0,1625907,1665854,0,1665854,2016,Tons ,,-1625907,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,48000,0,0,,2016,Barrels,0,-48000
Cameroon,1.48E+11,0.000254,6016,0.72,0.49,0.23,0,0.28,9454331,0.0221,23926551,0.4,0.03%,0,0,0,0,0,,2016,Tons ,,0,4770000,90406,24014,0,0,,2015,Million Cubic Ft,0,66392,200000000,92469,40000,40950,81166,,2016,Barrels,40216,52469
Armenia,1.49E+11,0.000255,50441,0.7,0.11,0.59,0,0.3,4597845,0.0306,2936143,1.57,0.01%,179676530,0,1323,1323,0,1323,2016,Tons ,,-1323,0,0,72396,72396,0,72396,2015,Million Cubic Ft,,-72396,0,0,6000,0,0,,2016,Barrels,0,-6000
Zambia,1.78E+11,0.000306,10560,0.38,0.35,0,0.03,0.62,4230584,0.0367,16363458,0.26,0.01%,49603950,138946,183693,46205,1821,44384,2016,Tons ,,-44747,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,170,22000,10250,0,10250,2016,Barrels,,-21830
Brunei ,1.77E+11,0.000304,416670,1,0.18,0.82,0,0,7672127,0.0354,419800,18.28,0.02%,0,0,0,0,0,,2016,Tons ,,0,13800000,439672,122896,0,300884,,2015,Million Cubic Ft,300884,316776,1100000000,121034,16000,498,110245,,2016,Barrels,109747,105034
Honduras,1.71E+11,0.000294,18178,0.71,0.7,0,0,0.29,9320279,0.0225,9270795,1.01,0.03%,0,0,180779,178535,0,178535,2016,Tons ,,-180779,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,58000,0,0,,2016,Barrels,0,-58000
Afghanistan,1.45E+11,0.000248,3986,0.83,0.47,0.04,0.32,0.17,9900004,0.0713,35383032,0.28,0.03%,72752460,1871722,1871722,0,0,,2016,Tons ,0,0,1750000,6675,5163,0,0,,2015,Million Cubic Ft,0,1512,0,0,35000,0,0,,2016,Barrels,0,-35000
Côte d'Ivoire,1.79E+11,0.000307,7316,0.95,0.5,0.46,0,0.05,10056492,0.0116,23822714,0.42,0.03%,0,0,0,0,0,,2016,Tons ,,0,1000000,75645,72855,0,0,,2015,Million Cubic Ft,0,2790,100000000,50357,51000,50024,35965,14059,2016,Barrels,,-643
Luxembourg,1.83E+11,0.000315,309921,0.86,0.68,0.17,0.01,0.14,10144632,0.0345,579264,17.51,0.03%,0,0,89198,89198,0,89198,2016,Tons ,,-89198,0,0,31113,30901,0,30901,2015,Million Cubic Ft,,-31113,0,0,56194,0,0,,2016,Barrels,0,-56194
Iceland,2.21E+11,0.00038,662243,0.21,0.2,0,0.02,0.79,3923884,0.0162,332206,11.81,0.01%,0,0,136686,136686,0,136686,2016,Tons ,,-136686,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,19090,0,0,,2016,Barrels,0,-19090
Mongolia,2.15E+11,0.00037,69206,0.96,0.26,0,0.7,0.04,18574260,0.1809,3056364,6.08,0.05%,2777821200,39157027,8823724,875,28439598,,2016,Tons ,28438723,30333304,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,23426,21000,71,21740,,2016,Barrels,21669,2426
Tajikistan,2.25E+11,0.000387,25367,0.32,0.16,0,0.16,0.68,6049757,0.0337,8663579,0.7,0.02%,413366250,1500244,1511267,590,0,590,2016,Tons ,,-11023,200000,706,706,0,0,,2015,Million Cubic Ft,0,0,12000000,173,21000,6,69,,2016,Barrels,63,-20827
Gibraltar,1.93E+11,0.000331,5717297,1,1,0,0,0,572708,0.0353,33737,16.98,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,75000,0,0,,2016,Barrels,0,-75000
Costa Rica,2.14E+11,0.000368,43245,0.52,0.52,0,0,0.48,8328890,0.0216,4899345,1.7,0.02%,0,0,110,110,0,110,2016,Tons ,,-110,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,1571,55000,0,0,,2016,Barrels,0,-53429
Latvia,1.88E+11,0.000322,96108,0.74,0.49,0.24,0.01,0.26,8157157,0.0341,1974266,4.13,0.02%,0,0,67861,77853,9991,67861,2016,Tons ,,-67861,0,0,46792,46121,0,46121,2015,Million Cubic Ft,,-46792,0,1059,37694,0,0,,2016,Barrels,0,-36635
Uruguay,2.19E+11,0.000377,63843,0.46,0.45,0.01,0,0.54,6508013,0.0191,3424129,1.9,0.02%,0,0,437,437,0,437,2016,Tons ,,-437,0,0,1989,1989,0,1989,2015,Million Cubic Ft,,-1989,0,2217,53000,35198,0,35198,2016,Barrels,,-50783
Kyrgyzstan,2.42E+11,0.000416,39096,0.48,0.29,0.03,0.16,0.52,6941784,0.0253,6074330,1.14,0.02%,1070343010,2040376,2447128,853433,18049,835384,2016,Tons ,,-406752,200000,1059,6357,5650,0,5650,2015,Million Cubic Ft,,-5297,40000000,972,40000,227,145,82,2016,Barrels,,-39028
Georgia,2.46E+11,0.000423,61434,0.63,0.25,0.34,0.03,0.37,8610414,0.0294,4015450,2.14,0.02%,221564310,326835,419462,114100,0,114100,2016,Tons ,,-92627,300000,353,84756,84403,0,84403,2015,Million Cubic Ft,,-84403,35000000,394,33000,853,2301,,2016,Barrels,1448,-32606
Puerto Rico,2.64E+11,0.000454,83605,0.99,0.74,0.18,0.07,0.01,712758,0.0171,3283125,0.22,0.00%,0,0,1565871,1762572,0,1762572,2016,Tons ,,-1565871,0,0,55373,55373,0,55373,2015,Million Cubic Ft,,-55373,0,0,96746,0,0,,2016,Barrels,0,-96746
Bosnia and Herzegovina,2.52E+11,0.000432,75116,0.92,0.28,0.03,0.61,0.08,25674120,0.0086,3386266,7.58,0.07%,2495629840,7167188,9466163,1505973,203927,1302045,2016,Tons ,,-2298976,0,0,7063,7063,0,7063,2015,Million Cubic Ft,,-7063,0,248,35000,18234,0,18234,2016,Barrels,,-34752
Ghana,2.74E+11,0.00047,9399,0.81,0.64,0.17,0,0.19,14469986,0.0354,28481945,0.51,0.04%,0,0,17,17,0,17,2016,Tons ,,-17,800000,45203,44990,19736,0,19736,2015,Million Cubic Ft,,214,660000000,99114,88000,18636,73654,,2016,Barrels,55018,11114
Tanzania,2.87E+11,0.000493,5258,0.92,0.49,0.4,0.03,0.08,9731560,0.025,53049230,0.18,0.03%,296521390,304238,327861,84992,53522,31470,2016,Tons ,,-23623,230000,39200,38847,0,0,,2015,Million Cubic Ft,0,353,0,0,71999,0,0,,2016,Barrels,0,-71999
Kenya,3.22E+11,0.000553,6417,0.77,0.73,0,0.03,0.23,16334919,0.036,49051534,0.33,0.05%,0,0,537359,537359,0,537359,2016,Tons ,,-537359,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,824,114000,2164,0,2164,2016,Barrels,,-113176
Guatemala,3.16E+11,0.000543,18709,0.75,0.59,0,0.16,0.25,18539316,0.0242,16583076,1.12,0.05%,0,0,1751571,2416836,0,2416836,2016,Tons ,,-1751571,0,0,0,0,0,,2015,Million Cubic Ft,,0,83070000,12033,93000,2,9096,,2016,Barrels,9094,-80967
Slovenia,2.84E+11,0.000488,136734,0.65,0.38,0.11,0.16,0.35,14722601,0.0235,2074210,7.1,0.04%,408957010,3691636,4143583,427692,2182,425510,2016,Tons ,,-451947,0,106,28817,28711,0,28711,2015,Million Cubic Ft,,-28711,0,5,52298,0,0,,2016,Barrels,0,-52293
Mozambique,2.88E+11,0.000494,10051,0.55,0.3,0.25,0,0.45,5859171,0.0222,27829938,0.21,0.02%,1975339520,6818890,12125,4057,8325796,,2016,Tons ,8321738,6806764,100000000,201296,66922,0,134197,,2015,Million Cubic Ft,134197,134374,0,281,40000,0,461,,2016,Barrels,461,-39719
Croatia,3.51E+11,0.000602,83839,0.74,0.43,0.27,0.04,0.26,19408194,0.0302,4208602,4.61,0.05%,0,0,1179627,1200571,0,1200571,2016,Tons ,,-1179627,880000,64591,72537,37858,12961,24897,2015,Million Cubic Ft,,-7946,71000000,18528,69000,50268,0,50268,2016,Barrels,,-50472
Dominican Republic,3.40E+11,0.000585,32385,0.92,0.72,0.13,0.08,0.08,23466740,0.0288,10397741,2.26,0.07%,0,0,1215242,1237894,0,1237894,2016,Tons ,,-1215242,0,0,39129,39129,0,39129,2015,Million Cubic Ft,,-39129,0,-116,133000,18204,0,18204,2016,Barrels,,-133116
Ethiopia,3.24E+11,0.000556,3041,0.61,0.57,0,0.04,0.39,10438855,0.0403,103603462,0.1,0.03%,0,31416,539255,629357,0,629357,2016,Tons ,,-507839,880000,0,0,0,0,,2015,Million Cubic Ft,,0,428000,354,74000,0,0,,2016,Barrels,0,-73646
Bolivia,3.43E+11,0.00059,30676,0.93,0.59,0.34,0,0.07,19463728,0.0203,11031814,1.76,0.05%,1102310,0,0,0,0,,2016,Tons ,,0,10450000,741615,95351,0,621544,,2015,Million Cubic Ft,621544,646265,211450000,77635,90000,0,4260,,2016,Barrels,4260,-12365
Lebanon,3.76E+11,0.000645,55106,0.99,0.98,0,0.01,0.01,21863288,0.0195,6714281,3.26,0.06%,0,0,135976,135976,0,135976,2016,Tons ,,-135976,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,153000,2,0,2,2016,Barrels,,-153000
North Korea,3.30E+11,0.000567,12990,0.67,0.12,0,0.55,0.33,58708734,0.1949,25307665,2.32,0.16%,661386000,34237749,10707839,1731596,24825709,,2016,Tons ,23094114,23529909,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,137,18000,10684,0,10684,2016,Barrels,,-17863
Sudan,3.68E+11,0.000632,9024,0.77,0.77,0,0,0.23,13294106,0.0418,39847439,0.33,0.04%,0,0,0,0,0,,2016,Tons ,,0,3000000,0,0,0,0,,2015,Million Cubic Ft,,0,5000000000,107853,140000,0,22315,,2016,Barrels,22315,-32147
Angola,3.63E+11,0.000623,12168,0.8,0.72,0.08,0,0.2,30566933,0.0313,28842489,1.06,0.09%,0,0,0,0,0,,2016,Tons ,,0,9711000,372255,27298,0,0,,2015,Million Cubic Ft,0,344957,8423000000,1796743,133000,0,1681354,,2016,Barrels,1681354,1663743
Syria,3.95E+11,0.000678,23082,0.99,0.63,0.35,0,0.01,38054696,0.0178,17465575,2.18,0.11%,0,0,5526,5526,0,5526,2016,Tons ,,-5526,8500000,218953,151855,0,0,,2015,Million Cubic Ft,0,67099,2500000000,34602,140000,0,0,,2016,Barrels,0,-105398
Sri Lanka,3.83E+11,0.000658,18147,0.89,0.73,0,0.16,0.11,18454691,0.0855,21021171,0.88,0.05%,0,0,2295009,2580799,0,2580799,2016,Tons ,,-2295009,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,-320,127000,31960,0,31960,2016,Barrels,,-127320
Panama,4.39E+11,0.000754,106972,0.84,0.82,0,0.02,0.16,11599764,0.0237,4037078,2.87,0.03%,0,0,330693,336706,0,336706,2016,Tons ,,-330693,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,446,155000,0,0,,2016,Barrels,0,-154554
Paraguay,5.19E+11,0.000891,75533,0.23,0.23,0,0,0.77,5998469,0.0197,6777872,0.89,0.02%,0,0,1680,1680,0,1680,2016,Tons ,,-1680,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,4174,51000,0,0,,2016,Barrels,0,-46826
Jordan,4.31E+11,0.00074,44050,0.97,0.6,0.36,0.01,0.03,22772370,0.0183,9554286,2.38,0.06%,0,0,242508,224734,0,224734,2016,Tons ,,-242508,213000,5333,102308,96975,0,96975,2015,Million Cubic Ft,,-96975,1000000,403,114000,59567,0,59567,2016,Barrels,,-113597
Tunisia,4.08E+11,0.000701,35726,0.99,0.51,0.48,0,0.01,29395965,0.0082,11303945,2.6,0.08%,0,0,2259,2259,0,2259,2016,Tons ,,-2259,2300000,87405,160507,104886,0,104886,2015,Million Cubic Ft,,-73102,425000000,41634,97000,17769,34478,,2016,Barrels,16709,-55366
Myanmar,5.19E+11,0.000891,9718,0.79,0.45,0.32,0.01,0.21,16701776,0.0561,53045201,0.31,0.05%,6613860,606271,536770,381094,40015,341079,2016,Tons ,,69501,10000000,648030,126781,0,491232,,2015,Million Cubic Ft,491232,521249,50000000,15634,123000,0,2702,,2016,Barrels,2702,-107366
